----------------------------------------
1,Mestni log - Vižmarje,1,Vižmarje - Mestni log
2,Nove Jarše - Zelena Jama,2,Zelena Jama - Nove Jarše
203171,Nove Jarše,202051,Zelena jama
203161,Nove Jarše-Šmartinska,203011,Pokopališka
203151,Žito,202061,Žale
203101,Kodrova,202041,Savsko naselje
203091,Jarše,202011,Viadukt
203041,Šola Jarše,301011,Friškovec
203022,Rožičeva,300011,Kolodvor
203052,Kavčičeva,600012,Bavarski dvor (Kozolec)
203062,Tovorni kolodvor,600022,Ajdovščina
303021,Zaloška,601012,Konzorcij
303011,Tržnica Moste,602022,Drama
402041,Bolnica,602062,Križanke
402031,Klinični center,602102,Gornji trg
502013,Ambrožev trg,501031,Krekov trg
502011,Poljanska,502012,Poljanska
501032,Krekov trg,502014,Ambrožev trg
602101,Gornji trg,502024,Roška
602061,Križanke,402032,Klinični center
602021,Drama,402042,Bolnica
601011,Pošta,303012,Tržnica Moste
600011,Bavarski dvor (Korabar),303022,Kajuhova
300012,Kolodvor,203061,Tovorni kolodvor
301012,Friškovec,203051,Kavčičeva
202012,Viadukt,203021,Rožičeva
202042,Savsko naselje,203042,Šola Jarše
202062,Žale,203092,Jarše
203012,Pokopališka,203102,Kodrova
202051,Zelena jama,203152, "Žito"
,,203171, "Nove Jarše"
----------------------------------------
3,Litostroj - Rudnik,3,Rudnik - Litostroj
103201,Litostroj,504031,Rudnik
803211,Kovinarska,504033,Rudnik
803051,Litostrojska,504021,Spodnji Rudnik
803011,Slovenija avto,504011,Gornji Rudnik
802021,Kino Šiška,503041,Peruzzijeva
802011,Stara cerkev,503031,Akademija
801011,Tivoli,503021,Rakovnik
700011,Kolizej,503011,Strelišče
600022,Ajdovščina,602111,Privoz
601012,Konzorcij,602101,Gornji trg
602022,Drama,602061,Križanke
602062,Križanke,602021,Drama
602102,Gornji trg,601011,Pošta
602112,Privoz,700012,Hotel Lev
503012,Strelišče,801012,Tivoli
503022,Rakovnik,802012,Stara cerkev
503032,Akademija,802022,Kino Šiška
503042,Peruzzijeva,803012,Slovenija avto
504012,Gornji Rudnik,803052,Litostrojska
504022,Spodnji Rudnik,803212,Kovinarska
504031,Rudnik,103201,Litostroj
----------------------------------------
3B,Litostroj - Škofljica,3B,Škofljica - Litostroj
103201,Litostroj,515013,Škofljica obračališče
803211,Kovinarska,515011,Škofljica špica
803051,Litostrojska,504111,Škofljica žaga
803011,Slovenija avto,504101,Škofljica Petkovšek
802021,Kino Šiška,504091,Lavrica
802011,Stara cerkev,504081,Lavrica pri Malči
801011,Tivoli,504071,Pod Hribom
700011,Kolizej,504033,Rudnik
600022,Ajdovščina,504021,Spodnji Rudnik
601012,Konzorcij,504011,Gornji Rudnik
602022,Drama,503041,Peruzzijeva
602062,Križanke,503031,Akademija
602102,Gornji trg,503021,Rakovnik
602112,Privoz,503011,Strelišče
503012,Strelišče,602111,Privoz
503022,Rakovnik,602101,Gornji trg
503032,Akademija,602061,Križanke
503042,Peruzzijeva,602021,Drama
504012,Gornji Rudnik,601011,Pošta
504022,Spodnji Rudnik,700012,Hotel Lev
504032,Rudnik,801012,Tivoli
504072,Pod Hribom,802012,Stara cerkev
504082,Lavrica pri Malči,802022,Kino Šiška
504092,Lavrica,803012,Slovenija avto
504102,Škofljica Petkovšek,803052,Litostrojska
504112,Škofljica žaga,803212,Kovinarska
515013,Škofljica obračališče,103201,Litostroj
----------------------------------------
N3,Bavarski dvor - Rudnik,N3,Rudnik - Bavarski dvor
600012,Bavarski dvor (Kozolec),504031,Rudnik
600022,Ajdovščina,504033,Rudnik
601012,Konzorcij,504021,Spodnji Rudnik
602022,Drama,504011,Gornji Rudnik
602062,Križanke,503041,Peruzzijeva
602102,Gornji trg,503031,Akademija
602112,Privoz,503021,Rakovnik
503012,Strelišče,503011,Strelišče
503022,Rakovnik,602111,Privoz
503032,Akademija,602101,Gornji trg
503042,Peruzzijeva,602061,Križanke
504012,Gornji Rudnik,602021,Drama
504022,Spodnji Rudnik,601011,Pošta
504031,Rudnik,700012,Hotel Lev
,,600012,Bavarski dvor (Kozolec)
----------------------------------------
N3B,Bavarski dvor - Škofljica,N3B,Škofljica - Bavarski dvor
600012,Bavarski dvor (Kozolec),515013,Škofljica obračališče
600022,Ajdovščina,515011,Škofljica špica
601012,Konzorcij,504111,Škofljica žaga
602022,Drama,504101,Škofljica Petkovšek
