# Vir: http://www.lpp.si/sites/default/files/lpp_si/stran/datoteke/spisek_postajalisc_po_abecedi_marec_2011;".pdf"
# Regex: ([0-9]+)\n([0-9]+)\n([\w+\.\ ščžŠČŽ\(\)]+)
# → - Smer vožnje proti centru
# Stara številka;Nova številka;Ime postajališča
365;103112;7;". septembra"
364;103111;7;". septembra →"
281;304091;"Cesta na Vevče →"
313;404022;"Cesta v Bizovik"
312;404021;"Cesta v Bizovik →"
680;704152;"Cesta v Gorice"
679;704151;"Cesta v Gorice →"
323;404072;"Cesta v Zavoglje"
322;404071;"Cesta v Zavoglje →"
338;703022;"Cesta XV"
339;703021;"Cesta XV →"
263;304042;"Chengdujska"
279;304041;"Chengdujska →"
541;203201;"Clevelandska →"
189;803112;"Čebelarska"
188;803111;"Čebelarska →"
367;103122;"Čerinova"
366;103121;"Čerinova →"
148;104161;"Črnuče →"
493;600032;"Dalmatinova"
315;404032;"Dobrunje"
314;404031;"Dobrunje →"
612;404142;"Dobrunje pod Urhom"
613;404141;"Dobrunje pod Urhom →"
474;703112;"Dolgi most"
182;704011;"Dolgi most "‐ obračališče →
524;704012;"Dolgi most "‐ obračališče izstop
475;703111;"Dolgi most →"
526;704052;"Dolgi most Rotar"
527;704051;"Dolgi most Rotar →"
558;614032;"Dornig"
559;614031;"Dornig →"
28;602022;"Drama"
29;602021;"Drama →"
118;803152;"Draveljska gmajna"
119;803151;"Draveljska gmajna →"
11;803042;"Dravlje"
10;803041;"Dravlje →"
404;802051;"Drenikova"
459;802052;"Drenikova →"
439;104062;"Elma"
438;104061;"Elma →"
146;403052;"Emona"
145;403051;"Emona →"
545;202082;"Flajšmanova"
55;301012;"Friškovec"
54;301011;"Friškovec →"
396;304051;"Fužine →"
507;603094;"Galjevica"
506;603093;"Galjevica →"
392;104221;"Gameljne →"
427;102032;"Gasilska brigada"
426;102031;"Gasilska brigada →"
38;603022;"Gerbičeva"
39;603021;"Gerbičeva →"
176;703082;"Glince"
177;703081;"Glince →"
138;402052;"Glonarjeva"
137;402051;"Glonarjeva →"
363;103092;"Gorjančeva"
362;103091;"Gorjančeva →"
136;402062;"Gornje Poljane"
135;402061;"Gornje Poljane →"
109;504012;"Gornji Rudnik"
108;504011;"Gornji Rudnik →"
97;602102;"Gornji trg"
96;602101;"Gornji trg →"
210;204022;"GZL"
209;204021;"GZL →"
34;602032;"Hajdrihova"
35;602031;"Hajdrihova →"
25;700012;"Hotel Lev"
349;101012;"Hranilniška"
348;101011;"Hranilniška →"
296;204062;"Hrastje"
295;204061;"Hrastje →"
535;404112;"Hruševska"
536;404111;"Hruševska →"
311;404012;"Hrušica"
310;404011;"Hrušica →"
132;402012;"Hrvatski trg"
131;402011;"Hrvatski trg →"
130;501012;"Ilirska"
129;501011;"Ilirska →"
414;603102;"Ilovica"
415;603101;"Ilovica →"
227;804162;"IMP"
226;804161;"IMP →"
418;604012;"Iški most"
419;604011;"Iški most →"
505;603122;"Ižanska"
504;603121;"Ižanska →"
36;603012;"Jadranska"
37;603011;"Jadranska →"
336;703032;"Jamnikarjeva"
337;703031;"Jamnikarjeva →"
140;403012;"Jana Husa"
139;403011;"Jana Husa →"
84;203092;"Jarše"
83;203091;"Jarše →"
624;425012;"Javor pri Sostrem K."
625;425011;"Javor pri Sostrem K. →"
582;405012;"Javor"/K.
581;405011;"Javor"/K. →
574;745061;"Jezero →"
444;104182;"Ježa"
443;104181;"Ježa →"
156;104032;"Ježica"
155;104031;"Ježica →"
234;104033;"Ježica →"
511;504042;"Jurčkova"
510;504041;"Jurčkova →"
74;303022;"Kajuhova →"
369;104022;"Kališnikov trg"
368;104021;"Kališnikov trg →"
454;803181;"Kamna Gorica →"
425;102092;"Kardeljeva ploščad"
424;102091;"Kardeljeva ploščad →"
78;203051;"Kavčičeva"
77;203052;"Kavčičeva →"
523;600042;"Kersnikova"
19;802022;"Kino Šiška"
18;802021;"Kino Šiška →"
68;402032;"Klinični center"
67;402031;"Klinični center →"
124;803082;"Kneza Koclja"
125;803081;"Kneza Koclja →"
142;403022;"Kodeljevo"
539;403025;"Kodeljevo "‐ obračališče
141;403023;"Kodeljevo →"
251;403021;"Kodeljevo →"
86;203102;"Kodrova"
85;203101;"Kodrova →"
244;602082;"Kolezija"
245;602081;"Kolezija →"
24;700011;"Kolizej →"
57;300012;"Kolodvor"
56;300011;"Kolodvor →"
152;104102;"Kolodvor Črnuče"
151;104101;"Kolodvor Črnuče →"
13;803032;"Kompas"
12;803031;"Kompas →"
26;601012;"Konzorcij"
42;603042;"Koprska"
685;603044;"Koprska"
43;603041;"Koprska →"
120;803142;"Koseze"
121;803141;"Koseze →"
225;804082;"Kosmačeva"
224;804081;"Kosmačeva →"
575;704102;"Kozarje"
576;704101;"Kozarje →"
568;614082;"Kozler"
569;614081;"Kozler →"
319;404052;"KPL"
318;404051;"KPL →"
497;501031;"Krekov trg"
496;501032;"Krekov trg →"
40;603032;"Krimska"
41;603031;"Krimska →"
95;602062;"Križanke"
94;602061;"Križanke →"
325;404082;"Križišče Sostro"
580;404084;"Križišče Sostro"
324;404081;"Križišče Sostro →"
579;404083;"Križišče Sostro →"
533;404102;"Krožna pot"
534;404101;"Krožna pot →"
428;101034;"Kržičeva"
416;603112;"Lahova pot"
417;603111;"Lahova pot →"
608;406072;"Lanišče"
607;406071;"Lanišče →"
660;504092;"Lavrica"
661;504091;"Lavrica →"
658;504082;"Lavrica pri Malči"
659;504081;"Lavrica pri Malči →"
208;204012;"Leskoškova"
207;204011;"Leskoškova →"
